Image,Task 3 (Damage),Task 5 (Vehicle),Task 6 (Visibility),Task 7 (Time),Task 8 (Multiple),Overall Result
tqvcd/RC_7_det01_0685px_vehicle_0p689.png,Minor,PASS,PASS,FAIL,PASS,FAIL
tqvcd/FN_15_det01_0720px_vehicle_0p721.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/RB_20_det01_0621px_vehicle_0p647.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
tqvcd/FB_8_det02_0304px_vehicle_0p617.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RB_20_det02_0246px_vehicle_0p501.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/RC_9_det02_0265px_vehicle_0p644.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FN_16_det01_0773px_vehicle_0p692.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/RC_9_det01_0693px_vehicle_0p787.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/RB_2_det01_0247px_vehicle_0p665.png,Minor,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FN_16_det02_0466px_vehicle_0p550.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FB_9_det01_0793px_vehicle_0p835.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/FC_10_det01_0708px_vehicle_0p799.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RB_2_det02_0728px_vehicle_0p591.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/RN_10_det01_0767px_vehicle_0p713.png,None,PASS,FAIL,FAIL,PASS,FAIL
tqvcd/FN_17_det01_0695px_vehicle_0p689.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/FN_17_det02_0203px_vehicle_0p680.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/RN_11_det01_0702px_vehicle_0p686.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/RN_12_det01_0262px_vehicle_0p614.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FC_11_det01_0705px_vehicle_0p793.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/RB_3_det01_0636px_vehicle_0p811.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/FN_18_det01_0666px_vehicle_0p726.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/FC_12_det01_0542px_vehicle_0p708.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/RB_4_det01_0507px_vehicle_0p649.png,Severe,PASS,PASS,FAIL,PASS,FAIL
tqvcd/FB_10_det01_0669px_vehicle_0p869.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
tqvcd/FC_12_det02_0347px_vehicle_0p656.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/RB_4_det02_0245px_vehicle_0p475.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FN_18_det02_0282px_vehicle_0p496.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RN_12_det02_0736px_vehicle_0p660.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_11_det01_0454px_vehicle_0p617.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FC_13_det01_1216px_vehicle_0p912.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RN_13_det01_0694px_vehicle_0p701.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/RB_5_det01_0543px_vehicle_0p758.png,Moderate,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_11_det02_0612px_vehicle_0p600.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FC_14_det01_0752px_vehicle_0p802.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FN_19_det01_0765px_vehicle_0p717.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/FC_15_det01_0693px_vehicle_0p897.png,Moderate,PASS,FAIL,FAIL,PASS,FAIL
tqvcd/RN_14_det01_0662px_vehicle_0p723.png,None,PASS,PASS,FAIL,PASS,FAIL
tqvcd/FN_19_det02_0324px_vehicle_0p504.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RB_6_det01_0695px_vehicle_0p624.png,Minor,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RB_6_det03_0320px_vehicle_0p608.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FB_12_det01_0637px_vehicle_0p624.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RN_15_det01_0511px_vehicle_0p874.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_12_det03_0339px_vehicle_0p526.png,None,PASS,PASS,PASS,FAIL,FAIL
tqvcd/FN_1_det02_1021px_vehicle_0p587.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FC_16_det03_0263px_vehicle_0p561.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FN_1_det01_1299px_vehicle_0p733.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/RB_7_det01_0700px_vehicle_0p636.png,Minor,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RN_16_det01_0623px_vehicle_0p708.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FC_16_det01_0474px_vehicle_0p652.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_13_det01_0727px_vehicle_0p705.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/RN_17_det01_0574px_vehicle_0p773.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/RB_8_det01_0744px_vehicle_0p785.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_13_det02_0408px_vehicle_0p615.png,None,PASS,FAIL,FAIL,PASS,FAIL
tqvcd/FC_16_det04_0201px_vehicle_0p621.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FN_20_det01_0599px_vehicle_0p728.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/RB_9_det02_0732px_vehicle_0p804.png,Severe,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FN_2_det01_1595px_vehicle_0p840.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/FC_17_det01_0869px_vehicle_0p832.png,None,PASS,PASS,FAIL,PASS,FAIL
tqvcd/RN_18_det01_0681px_vehicle_0p664.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FB_14_det01_0686px_vehicle_0p675.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/RC_10_det01_0614px_vehicle_0p751.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RN_18_det02_0304px_vehicle_0p642.png,None,PASS,PASS,FAIL,PASS,FAIL
tqvcd/FB_15_det01_0738px_vehicle_0p735.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/FN_3_det01_1031px_vehicle_0p848.png,None,PASS,PASS,FAIL,PASS,FAIL
tqvcd/FC_18_det01_0692px_vehicle_0p899.png,Moderate,PASS,PASS,PASS,PASS,PASS
tqvcd/RN_18_det03_0237px_vehicle_0p554.png,None,PASS,FAIL,FAIL,PASS,FAIL
tqvcd/FB_16_det01_0625px_vehicle_0p598.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/RC_11_det02_0202px_vehicle_0p553.png,None,PASS,PASS,PASS,FAIL,FAIL
tqvcd/RC_11_det01_0659px_vehicle_0p655.png,Moderate,PASS,PASS,PASS,PASS,PASS
tqvcd/FN_4_det01_1037px_vehicle_0p879.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/FC_19_det01_0708px_vehicle_0p680.png,Moderate,PASS,PASS,PASS,PASS,PASS
tqvcd/RN_19_det01_0714px_vehicle_0p693.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_16_det02_0468px_vehicle_0p519.png,Severe,PASS,PASS,PASS,FAIL,FAIL
tqvcd/FN_5_det01_0587px_vehicle_0p886.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/FC_1_det01_0701px_vehicle_0p706.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FB_16_det03_0335px_vehicle_0p479.png,None,PASS,PASS,PASS,FAIL,FAIL
tqvcd/FN_6_det01_0717px_vehicle_0p664.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/RN_20_det01_0733px_vehicle_0p674.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/FC_20_det01_1233px_vehicle_0p771.png,Minor,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RN_1_det01_0699px_vehicle_0p643.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/RC_12_det01_0689px_vehicle_0p902.png,Moderate,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_17_det01_0456px_vehicle_0p544.png,None,PASS,FAIL,PASS,FAIL,FAIL
tqvcd/RC_13_det01_0769px_vehicle_0p888.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/FN_6_det03_0308px_vehicle_0p624.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FC_2_det01_0782px_vehicle_0p800.png,Severe,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RC_14_det01_0744px_vehicle_0p785.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/FC_3_det01_0771px_vehicle_0p712.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/RC_15_det01_0796px_vehicle_0p853.png,Moderate,PASS,PASS,PASS,PASS,PASS
tqvcd/RN_2_det01_0660px_vehicle_0p769.png,None,PASS,PASS,FAIL,PASS,FAIL
tqvcd/FB_18_det01_0746px_vehicle_0p638.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/FN_7_det01_0621px_vehicle_0p630.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_18_det02_0365px_vehicle_0p504.png,None,PASS,PASS,PASS,FAIL,FAIL
tqvcd/RN_3_det01_0709px_vehicle_0p644.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/FN_7_det02_0483px_vehicle_0p584.png,None,PASS,FAIL,PASS,FAIL,FAIL
tqvcd/FC_4_det01_0741px_vehicle_0p834.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/RN_3_det02_0212px_vehicle_0p554.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FB_19_det02_0883px_vehicle_0p490.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RC_16_det01_0584px_vehicle_0p749.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/RC_17_det01_0720px_vehicle_0p807.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FN_9_det01_0724px_vehicle_0p774.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/RN_4_det01_0767px_vehicle_0p713.png,None,PASS,FAIL,FAIL,PASS,FAIL
tqvcd/FB_1_det01_0698px_vehicle_0p620.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/FC_5_det01_0676px_vehicle_0p708.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RB_10_det01_0742px_vehicle_0p739.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/FC_6_det01_0753px_vehicle_0p883.png,Minor,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RC_18_det01_0789px_vehicle_0p730.png,Severe,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RN_5_det01_0702px_vehicle_0p686.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_20_det01_0708px_vehicle_0p763.png,Severe,PASS,PASS,FAIL,PASS,FAIL
tqvcd/FB_2_det01_0797px_vehicle_0p884.png,Severe,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RB_11_det02_0684px_vehicle_0p650.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/RN_6_det01_0262px_vehicle_0p614.png,None,PASS,FAIL,PASS,FAIL,FAIL
tqvcd/FC_7_det01_0647px_vehicle_0p702.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RC_19_det01_0604px_vehicle_0p667.png,Moderate,PASS,PASS,PASS,PASS,PASS
tqvcd/RB_12_det01_0738px_vehicle_0p867.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/RN_6_det02_0736px_vehicle_0p660.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/RC_19_det02_0219px_vehicle_0p610.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FC_8_det01_0722px_vehicle_0p711.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/FC_8_det02_0437px_vehicle_0p630.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_3_det01_0644px_vehicle_0p901.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RB_13_det01_0663px_vehicle_0p656.png,Severe,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RN_7_det01_0699px_vehicle_0p643.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/RC_1_det01_0711px_vehicle_0p696.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
tqvcd/FB_4_det01_0620px_vehicle_0p634.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
tqvcd/RB_13_det03_0347px_vehicle_0p515.png,Minor,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FC_9_det01_0797px_vehicle_0p862.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RC_1_det02_0280px_vehicle_0p527.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RN_8_det01_0660px_vehicle_0p769.png,None,PASS,PASS,FAIL,PASS,FAIL
tqvcd/FB_5_det02_0255px_vehicle_0p504.png,Severe,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FN_10_det01_0677px_vehicle_0p741.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_5_det01_0682px_vehicle_0p585.png,Severe,PASS,PASS,PASS,FAIL,FAIL
tqvcd/RB_14_det02_0619px_vehicle_0p453.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/RN_9_det01_0709px_vehicle_0p644.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/RC_20_det01_0607px_vehicle_0p691.png,Moderate,PASS,PASS,PASS,PASS,PASS
tqvcd/RB_15_det01_0635px_vehicle_0p631.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/FN_10_det02_0382px_vehicle_0p517.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FB_6_det01_0276px_vehicle_0p678.png,Minor,PASS,FAIL,PASS,FAIL,FAIL
tqvcd/RB_17_det01_0677px_vehicle_0p799.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/RN_9_det02_0212px_vehicle_0p554.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RC_2_det01_0674px_vehicle_0p794.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/FN_11_det01_0629px_vehicle_0p771.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/RC_3_det01_0786px_vehicle_0p853.png,None,PASS,FAIL,PASS,PASS,FAIL
