Image,Task 3 (Damage),Task 5 (Vehicle),Task 6 (Visibility),Task 7 (Time),Task 8 (Multiple),Overall Result
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 17.25.59 EDT - 5-17-2025 18.25.59 EDT_frame0643_det809_0268px_vehicle_0p803.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 10.25.59 EDT - 5-17-2025 11.25.59 EDT_frame0061_det45_0208px_vehicle_0p622.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-15-2025 13.22.25 EDT - 5-15-2025 14.22.25 EDT_frame0713_det3031_0449px_vehicle_0p635.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-14-2025 07.25.59 EDT - 5-14-2025 08.25.59 EDT_frame0680_det1108_1899px_vehicle_0p727.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 08.25.59 EDT - 5-17-2025 09.25.59 EDT_frame0017_det4_1013px_vehicle_0p798.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-14-2025 08.25.59 EDT - 5-14-2025 09.25.59 EDT_frame0409_det1334_0541px_vehicle_0p617.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 07.25.59 EDT - 5-17-2025 08.25.59 EDT_frame0304_det163_0342px_vehicle_0p821.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 17.25.59 EDT - 5-17-2025 18.25.59 EDT_frame0651_det812_0269px_vehicle_0p805.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 18.25.59 EDT - 5-19-2025 19.25.59 EDT_frame0178_det209_0240px_vehicle_0p818.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-15-2025 14.25.59 EDT - 5-15-2025 15.25.59 EDT_frame0622_det552_0263px_vehicle_0p796.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-18-2025 15.25.59 EDT - 5-18-2025 16.25.59 EDT_frame0091_det111_0822px_vehicle_0p727.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 09.25.59 EDT - 5-19-2025 10.25.59 EDT_frame0123_det191_1685px_vehicle_0p655.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-18-2025 16.25.59 EDT - 5-18-2025 17.25.59 EDT_frame0666_det688_1255px_vehicle_0p796.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-18-2025 16.25.59 EDT - 5-18-2025 17.25.59 EDT_frame0646_det672_1662px_vehicle_0p763.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-14-2025 08.25.59 EDT - 5-14-2025 09.25.59 EDT_frame0411_det1342_0717px_vehicle_0p580.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 09.25.59 EDT - 5-19-2025 10.25.59 EDT_frame0125_det198_0285px_vehicle_0p711.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 18.25.59 EDT - 5-17-2025 19.25.59 EDT_frame0787_det901_1110px_vehicle_0p661.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 10.25.59 EDT - 5-17-2025 11.25.59 EDT_frame0078_det64_0759px_vehicle_0p725.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 17.25.59 EDT - 5-17-2025 18.25.59 EDT_frame0667_det831_1358px_vehicle_0p735.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-14-2025 09.25.59 EDT - 5-14-2025 10.25.59 EDT_frame0322_det622_0386px_vehicle_0p661.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-17-2025 06.22.25 EDT - 5-17-2025 07.22.25 EDT_frame0048_det112_0663px_vehicle_0p591.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 08.25.59 EDT - 5-19-2025 09.25.59 EDT_frame0142_det576_0455px_vehicle_0p547.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-15-2025 14.22.25 EDT - 5-15-2025 15.22.25 EDT_frame0726_det3335_0290px_vehicle_0p676.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 18.25.59 EDT - 5-19-2025 19.25.59 EDT_frame0197_det233_0277px_vehicle_0p796.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 08.25.59 EDT - 5-19-2025 09.25.59 EDT_frame0141_det571_1226px_vehicle_0p599.png,Moderate,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 18.25.59 EDT - 5-19-2025 19.25.59 EDT_frame0184_det216_0971px_vehicle_0p697.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-15-2025 19.25.59 EDT - 5-15-2025 20.25.59 EDT_frame0784_det862_0983px_vehicle_0p735.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 08.25.59 EDT - 5-19-2025 09.25.59 EDT_frame0140_det563_1970px_vehicle_0p558.png,Moderate,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-15-2025 19.25.59 EDT - 5-15-2025 20.25.59 EDT_frame0787_det868_0254px_vehicle_0p733.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 19.25.59 EDT - 5-17-2025 20.25.59 EDT_frame0447_det548_0319px_vehicle_0p686.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-18-2025 16.25.59 EDT - 5-18-2025 17.25.59 EDT_frame0727_det732_0201px_vehicle_0p827.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 17.25.59 EDT - 5-17-2025 18.25.59 EDT_frame0679_det843_1564px_vehicle_0p730.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-15-2025 07.25.59 EDT - 5-15-2025 08.25.59 EDT_frame0119_det191_0281px_vehicle_0p738.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-16-2025 13.25.59 EDT - 5-16-2025 14.25.59 EDT_frame0496_det465_0564px_vehicle_0p731.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-18-2025 13.25.59 EDT - 5-18-2025 14.25.59 EDT_frame0027_det28_0367px_vehicle_0p744.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-19-2025 14.22.25 EDT - 5-19-2025 15.22.25 EDT_frame0605_det447_0250px_vehicle_0p648.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-14-2025 09.25.59 EDT - 5-14-2025 10.25.59 EDT_frame0196_det383_0242px_vehicle_0p629.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 12.25.59 EDT - 5-19-2025 13.25.59 EDT_frame0608_det406_1072px_vehicle_0p673.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-14-2025 14.25.59 EDT - 5-14-2025 15.25.59 EDT_frame0167_det157_0987px_vehicle_0p763.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-16-2025 15.25.59 EDT - 5-16-2025 16.25.59 EDT_frame0422_det487_0586px_vehicle_0p748.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-18-2025 14.25.59 EDT - 5-18-2025 15.25.59 EDT_frame0715_det806_1014px_vehicle_0p723.png,Moderate,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-20-2025 07.25.59 EDT - 5-20-2025 08.25.59 EDT_frame0445_det545_0295px_vehicle_0p568.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-18-2025 16.25.59 EDT - 5-18-2025 17.25.59 EDT_frame0438_det457_1396px_vehicle_0p693.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-15-2025 13.22.25 EDT - 5-15-2025 14.22.25 EDT_frame0720_det3078_1072px_vehicle_0p644.png,None,PASS,FAIL,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-16-2025 15.25.59 EDT - 5-16-2025 16.25.59 EDT_frame0185_det189_0929px_vehicle_0p604.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-16-2025 16.25.59 EDT - 5-16-2025 17.25.59 EDT_frame0633_det732_0324px_vehicle_0p673.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-16-2025 15.25.59 EDT - 5-16-2025 16.25.59 EDT_frame0423_det488_0504px_vehicle_0p743.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 18.25.59 EDT - 5-19-2025 19.25.59 EDT_frame0474_det620_0273px_vehicle_0p807.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-16-2025 13.25.59 EDT - 5-16-2025 14.25.59 EDT_frame0508_det479_1103px_vehicle_0p747.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-16-2025 07.25.59 EDT - 5-16-2025 08.25.59 EDT_frame0422_det716_0354px_vehicle_0p703.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-14-2025 19.25.59 EDT - 5-14-2025 20.25.59 EDT_frame0191_det206_0465px_vehicle_0p717.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-15-2025 08.25.59 EDT - 5-15-2025 09.25.59 EDT_frame0184_det322_0680px_vehicle_0p557.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 18.25.59 EDT - 5-17-2025 19.25.59 EDT_frame0825_det931_0897px_vehicle_0p748.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/57th 450/57th 450 5-19-2025 12.22.25 EDT - 5-19-2025 13.22.25 EDT_frame0112_det522_0376px_vehicle_0p657.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-17-2025 05.22.25 EDT - 5-17-2025 06.22.25 EDT_frame0012_det22_0420px_vehicle_0p626.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-16-2025 15.25.59 EDT - 5-16-2025 16.25.59 EDT_frame0426_det491_0607px_vehicle_0p700.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 17.25.59 EDT - 5-17-2025 18.25.59 EDT_frame0692_det865_0709px_vehicle_0p741.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 14.25.59 EDT - 5-19-2025 15.25.59 EDT_frame0586_det796_0268px_vehicle_0p763.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-20-2025 07.25.59 EDT - 5-20-2025 08.25.59 EDT_frame0211_det259_0649px_vehicle_0p703.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-16-2025 09.25.59 EDT - 5-16-2025 10.25.59 EDT_frame0013_det11_0752px_vehicle_0p760.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 18.25.59 EDT - 5-19-2025 19.25.59 EDT_frame0211_det258_0983px_vehicle_0p679.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 13.25.59 EDT - 5-19-2025 14.25.59 EDT_frame0108_det146_0261px_vehicle_0p666.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-15-2025 14.22.25 EDT - 5-15-2025 15.22.25 EDT_frame0318_det1427_1554px_vehicle_0p734.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-14-2025 19.25.59 EDT - 5-14-2025 20.25.59 EDT_frame0206_det222_0724px_vehicle_0p715.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 18.25.59 EDT - 5-19-2025 19.25.59 EDT_frame0477_det624_1115px_vehicle_0p750.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-15-2025 14.22.25 EDT - 5-15-2025 15.22.25 EDT_frame0326_det1454_0287px_vehicle_0p636.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 19.25.59 EDT - 5-17-2025 20.25.59 EDT_frame0479_det584_0876px_vehicle_0p789.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-14-2025 12.25.59 EDT - 5-14-2025 13.25.59 EDT_frame0195_det166_0491px_vehicle_0p758.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 18.25.59 EDT - 5-19-2025 19.25.59 EDT_frame0509_det654_0247px_vehicle_0p822.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-16-2025 15.25.59 EDT - 5-16-2025 16.25.59 EDT_frame0454_det512_0728px_vehicle_0p708.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-14-2025 12.25.59 EDT - 5-14-2025 13.25.59 EDT_frame0200_det171_0515px_vehicle_0p740.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 15.25.59 EDT - 5-17-2025 16.25.59 EDT_frame0745_det886_0981px_vehicle_0p740.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-16-2025 16.25.59 EDT - 5-16-2025 17.25.59 EDT_frame0648_det753_1532px_vehicle_0p669.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-14-2025 19.25.59 EDT - 5-14-2025 20.25.59 EDT_frame0236_det239_0418px_vehicle_0p771.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 18.25.59 EDT - 5-19-2025 19.25.59 EDT_frame0218_det275_1078px_vehicle_0p746.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-20-2025 07.25.59 EDT - 5-20-2025 08.25.59 EDT_frame0212_det266_0905px_vehicle_0p647.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-18-2025 13.25.59 EDT - 5-18-2025 14.25.59 EDT_frame0068_det63_1945px_vehicle_0p671.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-15-2025 14.25.59 EDT - 5-15-2025 15.25.59 EDT_frame0841_det793_0214px_vehicle_0p786.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-15-2025 13.22.25 EDT - 5-15-2025 14.22.25 EDT_frame0455_det1870_0207px_vehicle_0p604.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-19-2025 12.22.25 EDT - 5-19-2025 13.22.25 EDT_frame0115_det538_0455px_vehicle_0p546.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-15-2025 07.25.59 EDT - 5-15-2025 08.25.59 EDT_frame0136_det226_0268px_vehicle_0p645.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-18-2025 06.22.25 EDT - 5-18-2025 07.22.25 EDT_frame0300_det64_0260px_vehicle_0p552.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-15-2025 13.22.25 EDT - 5-15-2025 14.22.25 EDT_frame0010_det47_0243px_vehicle_0p650.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-17-2025 05.22.25 EDT - 5-17-2025 06.22.25 EDT_frame0036_det66_0488px_vehicle_0p687.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-19-2025 12.22.25 EDT - 5-19-2025 13.22.25 EDT_frame0114_det535_0770px_vehicle_0p547.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 12.25.59 EDT - 5-17-2025 13.25.59 EDT_frame0470_det620_0245px_vehicle_0p699.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-18-2025 06.22.25 EDT - 5-18-2025 07.22.25 EDT_frame0489_det107_0212px_vehicle_0p746.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-14-2025 19.25.59 EDT - 5-14-2025 20.25.59 EDT_frame0699_det656_0223px_vehicle_0p757.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-19-2025 12.25.59 EDT - 5-19-2025 13.25.59 EDT_frame0657_det450_0963px_vehicle_0p717.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-14-2025 19.25.59 EDT - 5-14-2025 20.25.59 EDT_frame0665_det626_0794px_vehicle_0p718.png,Minor,PASS,PASS,PASS,PASS,PASS
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-17-2025 15.25.59 EDT - 5-17-2025 16.25.59 EDT_frame0769_det924_0579px_vehicle_0p643.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/57th 450/57th 450 5-15-2025 13.22.25 EDT - 5-15-2025 14.22.25 EDT_frame0723_det3109_0884px_vehicle_0p627.png,None,PASS,PASS,PASS,PASS,FAIL
usroad/ALPR MD-210 NB Livingston Rd/ALPR MD-210 NB Livingston Rd 5-15-2025 08.25.59 EDT - 5-15-2025 09.25.59 EDT_frame0040_det75_1035px_vehicle_0p663.png,Moderate,PASS,PASS,PASS,PASS,PASS
usroad/57th 450/57th 450 5-19-2025 12.22.25 EDT - 5-19-2025 13.22.25 EDT_frame0116_det550_0473px_vehicle_0p634.png,None,PASS,PASS,PASS,PASS,FAIL
