Image,Task 3 (Damage),Task 5 (Vehicle),Task 6 (Visibility),Task 7 (Time),Task 8 (Multiple),Overall Result
kaggle/Car damages 883_det01_0502px_vehicle_0p524.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 23_det01_0298px_vehicle_0p625.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1481_det01_0799px_vehicle_0p796.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 680_det01_0455px_vehicle_0p729.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1482_det01_0667px_vehicle_0p534.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 23_det02_0231px_vehicle_0p601.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 884_det01_0500px_vehicle_0p629.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 23_det05_0253px_vehicle_0p581.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 886_det01_0449px_vehicle_0p798.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 681_det01_0515px_vehicle_0p670.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1483_det01_0743px_vehicle_0p515.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 681_det02_0278px_vehicle_0p553.png,None,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 887_det01_0500px_vehicle_0p746.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1484_det01_0685px_vehicle_0p849.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 23_det06_0215px_vehicle_0p579.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 888_det01_0284px_vehicle_0p502.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 682_det01_0519px_vehicle_0p671.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1485_det01_0780px_vehicle_0p804.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 240_det01_0750px_vehicle_0p895.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 888_det02_0484px_vehicle_0p532.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 241_det01_0797px_vehicle_0p900.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1486_det01_0807px_vehicle_0p824.png,Severe,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 683_det01_0505px_vehicle_0p486.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 684_det01_0506px_vehicle_0p541.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 891_det01_0497px_vehicle_0p484.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1488_det01_0727px_vehicle_0p638.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 685_det01_0201px_vehicle_0p559.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 243_det01_0769px_vehicle_0p726.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 242_det01_0796px_vehicle_0p881.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1488_det02_0345px_vehicle_0p569.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 892_det02_0232px_vehicle_0p545.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 892_det01_0497px_vehicle_0p569.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 685_det02_0501px_vehicle_0p558.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 244_det01_0723px_vehicle_0p883.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1489_det01_0719px_vehicle_0p861.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 686_det01_0507px_vehicle_0p734.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 245_det01_0678px_vehicle_0p887.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 894_det01_0566px_vehicle_0p516.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 895_det01_0786px_vehicle_0p891.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 148_det01_0506px_vehicle_0p865.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 687_det01_0735px_vehicle_0p856.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 246_det01_0541px_vehicle_0p596.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1490_det01_0659px_vehicle_0p856.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 688_det01_0527px_vehicle_0p620.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1491_det01_0776px_vehicle_0p616.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 896_det01_0539px_vehicle_0p594.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 689_det01_0489px_vehicle_0p568.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 247_det01_0671px_vehicle_0p856.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 897_det01_0663px_vehicle_0p807.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 898_det01_0500px_vehicle_0p571.png,Minor,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 1492_det01_0717px_vehicle_0p850.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 248_det01_0734px_vehicle_0p715.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 690_det01_0412px_vehicle_0p653.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1493_det01_0718px_vehicle_0p817.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 898_det02_0260px_vehicle_0p472.png,Minor,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 249_det01_0733px_vehicle_0p778.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 24_det01_0427px_vehicle_0p730.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 691_det01_0456px_vehicle_0p599.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1494_det01_0806px_vehicle_0p838.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 250_det01_0646px_vehicle_0p657.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 692_det01_0524px_vehicle_0p507.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 899_det01_0449px_vehicle_0p621.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1495_det01_0806px_vehicle_0p807.png,Minor,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1496_det01_0723px_vehicle_0p537.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 693_det01_0533px_vehicle_0p621.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 251_det01_0738px_vehicle_0p811.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 901_det01_0507px_vehicle_0p501.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 900_det01_0523px_vehicle_0p488.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 694_det01_0420px_vehicle_0p598.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 695_det01_0488px_vehicle_0p477.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 902_det01_0444px_vehicle_0p798.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 252_det01_0717px_vehicle_0p853.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1497_det01_0737px_vehicle_0p829.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1498_det01_0657px_vehicle_0p594.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1498_det03_0366px_vehicle_0p478.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 695_det02_0292px_vehicle_0p455.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 903_det01_0469px_vehicle_0p635.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 253_det01_0795px_vehicle_0p851.png,Minor,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 903_det02_0301px_vehicle_0p503.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 696_det01_0492px_vehicle_0p719.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 254_det01_0739px_vehicle_0p684.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 255_det01_0539px_vehicle_0p700.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 905_det01_0523px_vehicle_0p541.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 697_det01_0420px_vehicle_0p507.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 149_det01_0446px_vehicle_0p857.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1499_det01_0546px_vehicle_0p727.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 256_det01_0659px_vehicle_0p818.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 14_det01_0477px_vehicle_0p712.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 698_det01_0501px_vehicle_0p548.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 906_det01_0484px_vehicle_0p563.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1500_det01_0800px_vehicle_0p744.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 257_det01_0738px_vehicle_0p676.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 258_det01_0730px_vehicle_0p854.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 907_det01_0445px_vehicle_0p472.png,Severe,PASS,FAIL,PASS,FAIL,FAIL
kaggle/Car damages 699_det01_0818px_vehicle_0p877.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 700_det01_0487px_vehicle_0p608.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 908_det01_0485px_vehicle_0p498.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 701_det01_0497px_vehicle_0p609.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 259_det01_0704px_vehicle_0p897.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1501_det01_0759px_vehicle_0p636.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 910_det01_0490px_vehicle_0p666.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 25_det01_0294px_vehicle_0p576.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1502_det02_0753px_vehicle_0p608.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 909_det01_0665px_vehicle_0p888.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 702_det01_0553px_vehicle_0p702.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1503_det01_0783px_vehicle_0p903.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 260_det01_0797px_vehicle_0p884.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 262_det01_0702px_vehicle_0p774.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1505_det01_0722px_vehicle_0p844.png,Severe,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 703_det02_0218px_vehicle_0p517.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 703_det01_0484px_vehicle_0p525.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 912_det01_0468px_vehicle_0p699.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 261_det01_0749px_vehicle_0p612.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 911_det02_0520px_vehicle_0p565.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1504_det01_0736px_vehicle_0p652.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 914_det02_0515px_vehicle_0p619.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 705_det01_0234px_vehicle_0p501.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 263_det01_0576px_vehicle_0p552.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1506_det01_0766px_vehicle_0p588.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 705_det02_0537px_vehicle_0p528.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 264_det01_0725px_vehicle_0p898.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 915_det01_0510px_vehicle_0p839.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 706_det01_0526px_vehicle_0p493.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1507_det01_0807px_vehicle_0p843.png,Moderate,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 917_det01_0452px_vehicle_0p534.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1508_det01_0647px_vehicle_0p552.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 265_det01_0797px_vehicle_0p652.png,Severe,PASS,FAIL,PASS,FAIL,FAIL
